season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,lead_gain
2018,6,643396,Isiah Kiner-Falefa,28.0,1.77,12.344880734,4.535688073,3.4889908253846156,52.508399999999995,1.9949999999999999,7,5,0.6407844984002549,-0.12157063906029242,4.535688073
2018,7,664023,Ian Happ,27.6,1.78,10.538212454,4.404992674,3.388455903076923,50.3217,1.95,8,4,0.6996080278120196,-0.058604660716150336,4.404992674
2018,8,664023,Ian Happ,27.6,1.8,10.538212454,4.404992674,3.388455903076923,49.7835,1.95,8,4,0.6996080278120196,-0.058604660716150336,4.404992674
2018,9,593428,Xander Bogaerts,27.8,1.79,12.125084821,4.347678571,3.3443681315384617,50.415299999999995,1.95,8,2,0.7928890981869555,0.03284557136243149,4.347678571
2018,10,518692,Freddie Freeman,26.7,1.8,12.235060811,4.331902027,3.3322323284615383,50.38289999999999,2.04,10,3,0.7718520262669073,0.015928552368925875,4.331902027
2018,11,641343,Jake Bauers,27.8,1.78,11.678393258,4.22547191,3.250363007692308,50.42642,1.94,6,6,0.5819609689884901,-0.17808255783603388,4.22547191
2018,12,606192,Teoscar Hernández,28.6,1.79,12.779433198,4.224502024,3.249616941538462,52.265069999999994,1.9649999999999999,5,5,0.5928890981869555,-0.17928550521967734,4.224502024
2018,13,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.2439016653846156,58.8596,2.05,27,6,0.8129825387580087,0.014826711981183571,4.217072165
2018,14,660162,Yoán Moncada,28.8,1.74,12.317113333,4.00746,3.0826615384615383,55.67664,2.0033333333333334,12,6,0.6910146292523622,-0.08539467414897128,4.00746
2018,15,660162,Yoán Moncada,28.8,1.72,12.317113333,4.00746,3.0826615384615383,55.67664,2.0033333333333334,12,6,0.6910146292523622,-0.08539467414897128,4.00746
2019,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,4.3401850046153845,53.186699999999995,2.0066666666666664,16,3,0.8288890197001805,0.06774978410010324,5.642240506
2019,2,624428,Adam Frazier,27.2,1.77,12.576537879,5.210234848,4.007872959999999,49.8576,1.95,5,5,0.5928890981869555,-0.16310423076751368,5.210234848
2019,3,608070,José Ramírez,27.9,1.75,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452526203880101,0.08411338478793284,5.031840278
2019,4,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,3.8706463676923075,52.994654999999995,2.01,24,4,0.8452526203880101,0.08411338478793284,5.031840278
2019,5,547180,Bryce Harper,28.3,1.76,11.668186722,4.916755187,3.7821193746153843,53.0858475,1.9849999999999999,15,3,0.8214494118610579,0.05472541030959588,4.916755187
2019,6,595879,Javier Báez,28.6,1.75,10.957180952,4.696933333,3.6130256407692305,52.981500000000004,1.95,11,7,0.647536368382797,-0.12463823502383575,4.696933333
2019,7,592663,J.T. Realmuto,28.7,1.76,12.115241176,4.642758824,3.5713529415384615,52.88692499999999,1.95,9,1,0.8595557648536222,0.08532390799209788,4.642758824
2019,8,665487,Fernando Tatis Jr.,29.3,1.75,11.307440154,4.53011583,3.4847044846153845,55.67,2.0,16,6,0.7367902397334938,-0.052309192640642044,4.53011583
2019,9,500743,Miguel Rojas,26.3,1.84,12.167167785,4.370013423,3.3615487869230765,45.698879999999996,1.92,9,5,0.678596656463386,-0.07943440891791698,4.370013423
2019,10,542303,Marcell Ozuna,27.4,1.86,10.24402027,4.274513514,3.288087318461538,48.06507999999999,1.96,12,2,0.8364913933054912,0.0796287707340062,4.274513514
2019,11,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.2439016653846156,56.0859,1.97,23,8,0.7470371242445648,-0.0392838961651758,4.217072165
2019,12,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718520262669073,0.011808499442383269,4.00746
2019,13,660162,Yoán Moncada,27.8,1.73,12.317113333,4.00746,3.0826615384615383,52.4864,1.9666666666666668,10,3,0.7718520262669073,0.011808499442383269,4.00746
2019,14,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.801830126917732,0.01273069454359621,3.908908759
