season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,jump_time
2025,4,682998,Corbin Carroll,29.8,1.67,9.737318777,3.851152838,2.96242526,57.5289,1.95,32,6,0.8347287551814961,0.029934366711625415,1.67
2025,5,687363,Victor Scott II,30.2,1.68,12.293602339,3.274192982,2.5186099861538462,59.494,2.0,34,4,0.881240383088473,0.061726554213502816,1.68
2025,6,691718,Pete Crow-Armstrong,29.5,1.68,12.341284884,3.9235,3.018076923076923,55.20925,1.9,35,8,0.8102778431834237,0.015261007625746004,1.68
2025,7,686217,Sal Frelick,28.9,1.69,12.259344203,2.834137681,2.1801059084615386,54.66145999999999,1.93,19,6,0.7631112157601444,-0.015595727265914294,1.69
2025,8,691176,Jasson Domínguez,28.7,1.7,,,,53.79635625,1.9224999999999999,23,5,0.8149495900849798,0.04071773322345551,1.7
2025,9,665750,Leody Taveras,28.8,1.71,11.69019171,3.285606218,2.5273893984615383,54.475199999999994,1.95,9,3,0.7584315572237843,-0.017977746177549214,1.71
2025,10,680776,Jarren Duran,29.1,1.71,11.817132841,3.677476015,2.828827703846154,53.34903,1.89,24,6,0.7969524706515524,0.013289669121290149,1.71
2025,11,808975,Hyeseong Kim,28.7,1.71,11.931405594,3.816706294,2.9359279184615383,54.286049999999996,1.95,13,1,0.8891229722528596,0.11489111539133534,1.71
2025,12,666152,David Hamilton,29.3,1.71,12.102747967,4.256341463,3.2741088176923077,55.42095,1.95,22,6,0.7846465597819494,-0.004452872592186408,1.71
2025,13,656775,Cedric Mullins,28.4,1.72,12.201346821,3.753213873,2.8870875946153847,52.34545999999999,1.91,22,4,0.8352689184775591,0.06684824272595702,1.72
2025,14,695734,Daylen Lile,29.1,1.72,11.590785235,2.876694631,2.2128420238461537,54.758925000000005,1.95,8,6,0.6259650775160175,-0.15769772401424476,1.72
2025,15,660271,Shohei Ohtani,28.0,1.72,11.510135065,3.437301299,2.6440779223076922,52.689,1.95,20,6,0.770752789445301,0.008397651984753729,1.72
2026,1,802415,Chandler Simpson,29.6,1.65,12.159847107,3.596834711,2.7667959315384616,57.72,1.95,14,8,0.6627161656594197,-0.13543966111740546,1.65
2026,2,683083,Nasim Nuñez,29.6,1.67,11.528732719,4.505917051,3.466090039230769,57.1428,1.95,22,2,0.8928736714760115,0.09471784469918632,1.67
2026,3,691718,Pete Crow-Armstrong,29.2,1.67,12.341284884,3.9235,3.018076923076923,56.370599999999996,1.95,12,4,0.7568255463240158,-0.029495474085724838,1.67
2026,4,687363,Victor Scott II,29.7,1.68,12.293602339,3.274192982,2.5186099861538462,56.168639999999996,1.92,7,4,0.6808335295502708,-0.12058148153061787,1.68
2026,5,666152,David Hamilton,29.4,1.68,12.102747967,4.256341463,3.2741088176923077,56.47005,1.95,10,3,0.7718520262669073,-0.020146011156540578,1.68
2026,6,669003,Garrett Mitchell,29.7,1.7,11.222261084,2.596517241,1.9973209546153845,56.756699999999995,1.96,6,4,0.6595557648536221,-0.14185924622726653,1.7
2026,7,680776,Jarren Duran,29.0,1.7,11.817132841,3.677476015,2.828827703846154,55.13625,1.95,10,0,0.9262224315202888,0.14509765578458633,1.7
2026,8,695578,James Wood,27.6,1.72,10.639444444,2.729792593,2.099840456153846,51.936299999999996,1.95,10,1,0.8683335295502708,0.11012084102210085,1.72
2026,9,656775,Cedric Mullins,27.4,1.72,12.201346821,3.753213873,2.8870875946153847,49.97348999999999,1.89,10,5,0.6946668236402166,-0.062195798931268365,1.72
2026,10,701538,Jackson Merrill,28.6,1.72,11.943645455,3.682522727,2.8327097899999996,51.88612,1.88,10,0,0.9262224315202888,0.15404782811365603,1.72
2026,11,677951,Bobby Witt Jr.,30.5,1.73,13.020939024,4.500591463,3.461993433076923,57.681599999999996,1.97,16,3,0.8288890197001805,-0.0029264168702453075,1.73
2026,12,669364,Xavier Edwards,28.1,1.73,12.329751656,4.399771523,3.384439633076923,52.6032,1.95,8,2,0.7928890981869555,0.02919786578102046,1.73
2026,13,682928,CJ Abrams,28.4,1.73,11.387557632,3.204844237,2.4652647976923077,52.34688,1.92,8,4,0.6996080278120196,-0.06881264793958253,1.73
2026,14,665862,Jazz Chisholm Jr.,28.4,1.73,12.165130769,5.637923077,4.336863905384615,55.07327999999999,2.02,13,3,0.8044445939430634,0.036023918191461335,1.73
2026,15,701807,Carson Benge,28.5,1.73,12.281895307,2.625790614,2.0198389338461538,53.352,1.95,9,2,0.8058335295502708,0.03559598651361262,1.73
