season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,accel_0_30
2024,7,663368,Blake Perkins,29.6,1.69,13.740953846,4.365707692,3.358236686153846,58.016000000000005,2.0,23,5,0.8149592849239493,0.016748209279769277,1.69
2024,8,682829,Elly De La Cruz,30.0,1.69,13.043354086,4.053797665,3.118305896153846,54.71999999999999,1.92,67,16,0.8056097318464809,-0.006337511710971522,1.69
2024,9,641584,Jake Fraley,28.3,1.69,12.234175182,4.711321168,3.624093206153846,54.91332,1.9799999999999998,20,5,0.7964552134163442,0.029639063021918877,1.69
2024,10,680776,Jarren Duran,29.6,1.7,11.817132841,3.677476015,2.828827703846154,55.1226,1.91,34,7,0.8237751391845722,0.0255640635403922,1.7
2024,11,691718,Pete Crow-Armstrong,30.0,1.7,12.341284884,3.9235,3.018076923076923,58.353750000000005,1.995,27,3,0.8826758972140093,0.0707286536565569,1.7
2024,12,656775,Cedric Mullins,28.3,1.71,12.201346821,3.753213873,2.887087594615385,53.34644333333333,1.9433333333333334,32,6,0.8347361954067517,0.0679200450123264,1.71
2024,13,660271,Shohei Ohtani,28.1,1.71,11.510135065,3.437301299,2.6440779223076922,51.51573,1.89,59,4,0.9249067118013282,0.16112223038627083,1.71
2024,14,665750,Leody Taveras,28.5,1.71,11.69019171,3.285606218,,,,23,6,0.7909898941908919,0.020662522944940642,1.71
2024,15,668930,Brice Turang,29.3,1.71,11.467410188,3.324536193,2.557335533076923,56.500947999999994,1.988,50,6,0.8835025639752512,0.09433479060160965,1.71
2025,1,683083,Nasim Nuñez,29.8,1.64,11.528732719,4.505917051,,,,9,1,0.8595770934993551,0.05473770983461834,1.64
2025,2,680577,DaShawn Keirsey Jr.,28.5,1.67,,,,56.14785,1.99,10,3,0.7718698001383514,0.0015424288924000829,1.67
2025,3,682998,Corbin Carroll,29.8,1.67,9.737318777,3.851152838,2.96242526,57.5289,1.95,32,6,0.8347361954067517,0.029896811742014973,1.67
2025,4,802415,Chandler Simpson,29.6,1.67,12.159847107,3.596834711,2.7667959315384616,57.06954,1.9475,44,12,0.7851419082375463,-0.013069167406633775,1.67
2025,5,687363,Victor Scott II,30.2,1.68,12.293602339,3.274192982,2.5186099861538462,59.494,2.0,34,4,0.8812478233137284,0.06171316799140225,1.68
2025,6,691718,Pete Crow-Armstrong,29.5,1.68,12.341284884,3.9235,3.018076923076923,55.20925,1.9,35,8,0.810284508385215,0.01520775479925529,1.68
2025,7,686217,Sal Frelick,28.9,1.69,12.259344203,2.834137681,2.1801059084615386,54.66145999999999,1.93,19,6,0.7631218800830109,-0.015666588482467603,1.69
2025,8,691176,Jasson Domínguez,28.7,1.7,,,,53.79635625,1.9224999999999999,23,5,0.8149592849239493,0.040641140954313926,1.7
2025,9,808975,Hyeseong Kim,28.7,1.71,11.931405594,3.816706294,,,,13,1,0.8891398106573856,0.11482166668775018,1.71
2025,10,666152,David Hamilton,29.3,1.71,12.102747967,4.256341463,,,,22,6,0.7846562546209189,-0.004511518752722599,1.71
2025,11,665750,Leody Taveras,28.8,1.71,11.69019171,3.285606218,,,,9,3,0.7584503766170779,-0.018042985666459788,1.71
