catcher_id,season,catcher_name,pop_2b_sba,pop_3b_sba,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count
660710,2026,"Durán, Rodolfo",1.87,,89.0,0.64,16.0
669127,2026,"Langeliers, Shea",1.87,1.42,87.4,0.63,34.0
596117,2026,"Stubbs, Garrett",1.85,,84.6,0.63,7.0
686780,2026,"Pagés, Pedro",1.9,1.4,84.4,0.61,38.0
701852,2026,"Cavanaugh, Drew",1.89,1.5,83.7,0.63,8.0
620443,2026,"Torrens, Luis",1.87,1.42,83.3,0.6,17.0
693307,2026,"Dingler, Dillon",1.87,1.45,88.5,0.64,24.0
680779,2026,"Davis, Henry",1.89,,87.6,0.66,12.0
678218,2026,"Valenzuela, Brandon",1.88,1.39,85.0,0.64,38.0
687221,2026,"Rushing, Dalton",1.92,1.52,82.7,0.61,24.0
672275,2026,"Bailey, Patrick",1.86,1.33,84.1,0.59,32.0
691740,2026,"Susac, Daniel",1.91,1.5,85.6,0.62,17.0
672515,2026,"Moreno, Gabriel",1.9,1.41,81.6,0.62,21.0
663743,2026,"Fortes, Nick",1.93,1.44,81.2,0.64,54.0
640902,2026,"Pereda, Jhonny",2.0,,84.4,0.69,9.0
656577,2026,"Jackson, Alex",1.9,1.38,85.2,0.63,9.0
680777,2026,"Jeffers, Ryan",1.97,1.51,82.0,0.65,13.0
668939,2026,"Rutschman, Adley",1.95,1.48,85.3,0.68,30.0
665561,2026,"Marchán, Rafael",1.89,,83.2,0.61,12.0
694212,2026,"Basallo, Samuel",1.92,,87.7,0.71,24.0
695600,2026,"Jensen, Carter",1.9,1.54,83.9,0.65,20.0
691788,2026,"Mack, Joe",1.9,1.38,83.6,0.6,31.0
661388,2026,"Contreras, William",1.92,1.56,82.0,0.63,26.0
682663,2026,"Ramírez, Agustín",1.98,,82.7,0.73,8.0
595978,2026,"Hedges, Austin",1.93,,83.1,0.64,14.0
665804,2026,"Amaya, Miguel",1.94,,83.4,0.64,18.0
641555,2026,"Escarra, J.C.",1.91,1.61,81.9,0.61,12.0
553869,2026,"Díaz, Elias",1.87,1.54,83.7,0.62,9.0
691011,2026,"Romo, Drew",1.94,1.41,84.9,0.63,23.0
666023,2026,"Fermin, Freddy",1.89,1.45,84.7,0.62,30.0
663698,2026,"Bart, Joey",1.95,1.51,84.1,0.65,15.0
805672,2026,"Price, Collin",1.93,,84.7,0.69,5.0
681351,2026,"O'Hoppe, Logan",1.97,,85.1,0.75,37.0
669257,2026,"Smith, Will",1.96,1.58,82.2,0.67,17.0
686948,2026,"Baldwin, Drake",1.93,,79.8,0.61,24.0
682848,2026,"Rodríguez, Endy",1.88,,85.7,0.64,12.0
642851,2026,"Wynns, Austin",1.95,1.53,77.3,0.61,11.0
623168,2026,"Heineman, Tyler",1.94,,77.2,0.57,21.0
700337,2026,"Quero, Edgar",1.95,1.64,81.4,0.61,14.0
668670,2026,"Rogers, Jake",1.95,,79.7,0.63,13.0
691019,2026,"Teel, Kyle",1.95,1.56,85.0,0.69,13.0
696100,2026,"Goodman, Hunter",1.94,1.55,84.0,0.71,28.0
686452,2026,"Millas, Drew",1.94,1.48,84.8,0.7,15.0
689414,2026,"Hicks, Liam",1.98,1.54,82.1,0.68,29.0
608348,2026,"Kelly, Carson",1.95,1.43,84.1,0.64,37.0
676439,2026,"Feduccia, Hunter",2.01,,83.1,0.72,23.0
673237,2026,"Diaz, Yainer",1.97,,85.8,0.7,33.0
506702,2026,"León, Sandy",2.01,1.4,76.6,0.62,13.0
663886,2026,"Stephenson, Tyler",1.98,1.6,82.4,0.69,41.0
543510,2026,"McCann, James",1.99,1.58,80.1,0.64,12.0
596142,2026,"Sánchez, Gary",1.96,1.46,85.2,0.76,9.0
521692,2026,"Perez, Salvador",1.98,1.55,80.8,0.67,15.0
672386,2026,"Kirk, Alejandro",2.01,,79.9,0.65,24.0
657136,2026,"Wong, Connor",1.97,,82.7,0.67,17.0
624431,2026,"Trevino, Jose",1.99,,78.5,0.61,15.0
669224,2026,"Wells, Austin",1.98,,79.6,0.62,23.0
665966,2026,"Narváez, Carlos",1.99,1.72,76.5,0.62,19.0
643376,2026,"Jansen, Danny",2.01,,77.9,0.68,20.0
641680,2026,"Heim, Jonah",1.98,1.56,83.3,0.7,24.0
518595,2026,"d'Arnaud, Travis",1.94,,82.1,0.64,7.0
664731,2026,"Higgins, P.J.",2.04,,78.7,0.66,11.0
669134,2026,"Campusano, Luis",1.95,1.45,81.9,0.66,10.0
663728,2026,"Raleigh, Cal",2.0,,81.9,0.66,22.0
664954,2026,"Sullivan, Brett",1.99,,83.0,0.7,23.0
665861,2026,"Rivero, Sebastián",1.95,,83.5,0.65,8.0
543309,2026,"Higashioka, Kyle",2.01,,76.9,0.65,30.0
660688,2026,"Ruiz, Keibert",2.04,1.52,78.6,0.68,38.0
641598,2026,"Garver, Mitch",2.07,1.6,77.4,0.72,11.0
605170,2026,"Caratini, Victor",2.05,,79.6,0.69,31.0
543877,2026,"Vázquez, Christian",2.0,1.43,78.1,0.6,29.0
681508,2026,"Gasper, Mickey",1.96,1.49,79.7,0.59,10.0
682626,2026,"Alvarez, Francisco",1.98,1.45,85.3,0.66,14.0
666310,2026,"Naylor, Bo",1.96,1.49,82.4,0.65,10.0
683679,2026,"Rodriguez, Jesus",1.94,,84.0,0.66,7.0
671056,2026,"Herrera, Iván",1.99,,80.6,0.65,19.0
624512,2026,"McGuire, Reese",1.96,,80.6,0.53,10.0
